2010 2020 2030 2040 2050 2060 2070 2080 2090 2100 2110 2120 2130 2140 2150 2160 2170 2180 2190 2200
0.231974923006713 12.7225659599156 36.2307734808536 78.8977006791094 149.775557111317 249.487176681749 377.809578478179 533.914751024188 721.173357058838 946.90802592008 1149.63169657818 1545.00102560408 2052.86854092341 2647.58539484865 3327.28889010585 4058.88944031202 4743.34045755779 5399.61218442128 6056.17539937158 6743.14823451921
0.71980746448474 13.5581503554943 37.4695565275429 80.7654351006798 152.059312927681 253.048773868663 382.637083943486 541.339524727864 729.227881186351 956.872734801808 1160.31613949863 1559.64787905345 2068.00823840667 2661.88589930526 3346.89395699061 4081.59838876074 4767.733676525 5423.21299580214 6084.40527458462 6773.16810299987
1.22994655009447 14.3141339015091 38.5847343195338 82.6643485484543 154.198133828235 255.956999837554 387.661695549093 548.673685304784 737.733742840841 968.432119788609 1172.39457269959 1571.93336708846 2083.51086470804 2681.95018528489 3365.50653566788 4101.63558698904 4796.12613824937 5452.99282894863 6116.90303090348 6809.76619361491
1.70521171038322 15.0286302364081 39.435427675188 84.1896203400617 155.995102940366 259.603872113256 392.291359534104 557.165089333124 750.055647063882 981.595202927525 1182.43519096314 1586.52401488536 2099.07272904739 2702.30191196393 3390.89096548834 4128.00836092262 4821.0115781536 5479.47718504798 6145.46358960068 6838.97862366213
2.15460130371236 15.7371184368067 40.5565626444889 85.5929454654416 158.295434613659 262.571490294221 397.298110429629 563.993215647161 759.287336939039 993.261441494842 1196.5740003706 1599.20208503061 2118.08721292423 2721.97220000602 3414.04714641747 4159.5426394454 4850.83452142166 5508.80400468807 6181.49760641399 6879.20164555887
2.59859734743793 16.5653171268118 41.5286699992096 86.9048645058793 160.575734791459 266.336802394414 401.866980771079 570.771780579076 769.614668201918 1006.29463814712 1210.95851090199 1619.42147866472 2135.92204623284 2744.23159160419 3438.386889579 4186.65774031924 4882.15930605193 5551.50506516015 6222.91534585806 6922.71832995399
3.12389337521673 17.2112537610245 42.5675241716694 88.3009259132977 162.584410902466 269.504637647563 408.841070191106 581.102094129327 781.919937219064 1020.32959235343 1225.88185979178 1635.44915096274 2158.20477532241 2767.60456172641 3462.4615399507 4218.02747266286 4923.5368943089 5598.24184474143 6273.68238725878 6981.24677526903
3.55609540958293 17.9537656367474 43.4059118307454 89.3691860868634 164.546094781998 273.15774063473 414.131085734113 590.095700194297 793.386448620796 1035.10105604118 1241.49206642373 1655.8686691662 2183.00380322566 2798.36853460359 3498.85975099888 4257.75663473546 4960.49667278544 5639.71547082017 6325.09129177525 7038.1336924555
3.93745701828223 18.7454876976338 44.4053892436134 90.7824470027891 166.676301032348 276.717750146837 419.666669400272 598.429242717274 805.578697697042 1053.59558758014 1259.29906510358 1678.66542471127 2210.60380761011 2829.47309544422 3538.78477868203 4300.56270777012 5005.80593018161 5689.53169064808 6377.28241889744 7092.93393559814
4.35271671428057 19.5031568682875 45.290636717086 92.0529123932604 168.869221396166 279.821126922361 426.03283519592 607.024860908321 819.889600492077 1068.77668535701 1282.82690289432 1704.71480737923 2240.61075042353 2864.14870258688 3571.17935154375 4340.22875232215 5055.33202290307 5740.06721295555 6433.64822516421 7157.69966033893
